original_path,new_path,original_size_kb,new_size_kb,savings_kb,savings_percent,original_dimensions,new_dimensions,format_action,backup_path,notes
public/assets/ui/outrun/outrun_clear_bg.png,public/assets/ui/outrun/outrun_clear_bg.webp,2297.9,94.4,2203.5,95.9,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/outrun/outrun_clear_bg.png,
public/assets/ui/outrun/outrun_game_over_bg.png,public/assets/ui/outrun/outrun_game_over_bg.webp,1758.5,26.0,1732.5,98.5,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/outrun/outrun_game_over_bg.png,
public/assets/ui/outrun/outrun_gameplay_bg.png,public/assets/ui/outrun/outrun_gameplay_bg.webp,1659.4,19.8,1639.6,98.8,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/outrun/outrun_gameplay_bg.png,
public/assets/ui/outrun/outrun_system_bg.png,public/assets/ui/outrun/outrun_system_bg.webp,1990.7,73.4,1917.3,96.3,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/outrun/outrun_system_bg.png,
public/assets/ui/shinobi/shinobi_boss_system_bg.png,public/assets/ui/shinobi/shinobi_boss_system_bg.webp,2503.0,115.7,2387.3,95.4,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/shinobi/shinobi_boss_system_bg.png,
public/assets/ui/shinobi/shinobi_clear_bg.png,public/assets/ui/shinobi/shinobi_clear_bg.webp,2136.9,98.3,2038.6,95.4,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/shinobi/shinobi_clear_bg.png,
public/assets/ui/shinobi/shinobi_game_over_bg.png,public/assets/ui/shinobi/shinobi_game_over_bg.webp,1574.9,39.0,1535.9,97.5,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/shinobi/shinobi_game_over_bg.png,
public/assets/ui/shinobi/shinobi_gameplay_bg.png,public/assets/ui/shinobi/shinobi_gameplay_bg.webp,1597.0,35.1,1561.9,97.8,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/shinobi/shinobi_gameplay_bg.png,
public/assets/ui/shinobi/shinobi_system_bg.png,public/assets/ui/shinobi/shinobi_system_bg.webp,2174.4,86.4,2088.0,96.0,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/shinobi/shinobi_system_bg.png,
public/assets/map/world_map.png,public/assets/map/world_map.webp,2807.0,250.7,2556.3,91.1,1448x1086,1080x810,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/map/world_map.png,
